"Nr","Gebiet","Kennzeichnung","Wahlberechtigte","Wähler","Gültige_Zweitstimmen","CDU_Zweitstimmen","SPD_Zweitstimmen","LINKE_Zweitstimmen","GRÜNEN_Zweitstimmen","CSU_Zweitstimmen","FDP_Zweitstimmen","AFD_Zweitstimmen","CDU_und_CSU_Zweitstimmen","CDU_Prozent","SPD_Prozent","LINKE_Prozent","GRÜNEN_Prozent","CSU_Prozent","FDP_Prozent","AFD_Prozent","CDU_und_CSU_Prozent","Wahlsieger_Zweitstimme","Dummy_West_Ost"
80,"Berlin-Charlottenburg-Wilmersdorf",11,198672,158034,156647,40085,30351,18367,24770,NA,23280,12374,40085,25.59,19.38,11.73,15.81,NA,14.86,7.9,25.59,"CDU",1
81,"Berlin-Tempelhof-Schöneberg",11,235250,181159,179081,44721,36179,23625,27956,NA,18569,17108,44721,24.97,20.2,13.19,15.61,NA,10.37,9.55,24.97,"CDU",1
82,"Berlin-Neukölln",11,202618,143553,141413,31592,27520,25752,18446,NA,10891,15904,31592,22.34,19.46,18.21,13.04,NA,7.7,11.25,22.34,"CDU",1
83,"Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost",11,223427,173289,171744,23887,27391,49016,35077,NA,10147,10863,23887,13.91,15.95,28.54,20.42,NA,5.91,6.33,13.91,"LINKE",1
84,"Berlin-Treptow-Köpenick",11,205106,157111,155188,31372,24109,39000,12168,NA,10067,26278,31372,20.22,15.54,25.13,7.84,NA,6.49,16.93,20.22,"LINKE",1
85,"Berlin-Marzahn-Hellersdorf",11,200704,138992,136939,28620,19797,35698,5621,NA,7290,29618,28620,20.9,14.46,26.07,4.1,NA,5.32,21.63,20.9,"LINKE",1
86,"Berlin-Lichtenberg",11,205300,149116,147126,27284,21850,43172,9821,NA,7745,24603,27284,18.54,14.85,29.34,6.68,NA,5.26,16.72,18.54,"LINKE",1
151,"Nordsachsen",14,163916,118170,116563,34321,14519,17173,3021,NA,9189,31301,34321,29.44,12.46,14.73,2.59,NA,7.88,26.85,29.44,"CDU",1
152,"Leipzig I",14,220654,161407,159930,37622,20674,31137,11300,NA,13565,33291,37622,23.52,12.93,19.47,7.07,NA,8.48,20.82,23.52,"CDU",1
153,"Leipzig II",14,227718,175198,173784,38111,22725,39058,18154,NA,14866,27774,38111,21.93,13.08,22.48,10.45,NA,8.55,15.98,21.93,"LINKE",1
154,"Leipzig-Land",14,215616,161321,159391,47944,18139,23368,5157,NA,12859,42823,47944,30.08,11.38,14.66,3.24,NA,8.07,26.87,30.08,"CDU",1
155,"Meißen",14,201310,152988,150913,39406,13148,20111,5531,NA,13156,49615,39406,26.11,8.71,13.33,3.67,NA,8.72,32.88,26.11,"AFD",1
156,"Bautzen I",14,213990,161319,158842,42995,14378,22597,3768,NA,12122,52041,42995,27.07,9.05,14.23,2.37,NA,7.63,32.76,27.07,"AFD",1
157,"Görlitz",14,213021,156089,153720,41000,14249,21534,4476,NA,10810,50551,41000,26.67,9.27,14.01,2.91,NA,7.03,32.89,26.67,"AFD",1
158,"Sächsische Schweiz-Osterzgebirge",14,202580,156342,154375,39581,12040,19708,4643,NA,12795,54749,39581,25.64,7.8,12.77,3.01,NA,8.29,35.46,25.64,"AFD",1
159,"Dresden I",14,232636,182849,181118,44104,19246,31004,13936,NA,18610,41812,44104,24.35,10.63,17.12,7.69,NA,10.28,23.09,24.35,"CDU",1
160,"Dresden II - Bautzen II",14,235464,186818,185164,42792,17977,32040,16588,NA,17684,43126,42792,23.11,9.71,17.3,8.96,NA,9.55,23.29,23.11,"AFD",1
161,"Mittelsachsen",14,201629,150648,148889,41189,14487,21582,4112,NA,11767,46522,41189,27.66,9.73,14.5,2.76,NA,7.9,31.25,27.66,"AFD",1
162,"Chemnitz",14,195929,147218,145871,36270,17373,28010,6818,NA,12184,35456,36270,24.86,11.91,19.2,4.67,NA,8.35,24.31,24.86,"CDU",1
163,"Chemnitzer Umland - Erzgebirgskreis II",14,183483,138891,137183,41947,14524,20972,3850,NA,10542,36746,41947,30.58,10.59,15.29,2.81,NA,7.68,26.79,30.58,"CDU",1
164,"Erzgebirgskreis I",14,220917,166701,163971,50759,15452,23090,3661,NA,12106,47952,50759,30.96,9.42,14.08,2.23,NA,7.38,29.24,30.96,"CDU",1
165,"Zwickau",14,207606,150950,148829,45106,16131,24665,4327,NA,11253,38964,45106,30.31,10.84,16.57,2.91,NA,7.56,26.18,30.31,"CDU",1
166,"Vogtlandkreis",14,193081,142775,140861,42604,16043,22578,4266,NA,10154,37217,42604,30.25,11.39,16.03,3.03,NA,7.21,26.42,30.25,"CDU",1
189,"Eichsfeld - Nordhausen - Kyffhäuserkreis",16,216673,158339,155929,52667,21652,22613,4778,NA,11974,32854,52667,33.78,13.89,14.5,3.06,NA,7.68,21.07,33.78,"CDU",1
190,"Eisenach - Wartburgkreis - Unstrut-Hainich-Kreis",16,222558,163154,160886,48340,23206,25171,5596,NA,11545,35824,48340,30.05,14.42,15.65,3.48,NA,7.18,22.27,30.05,"CDU",1
191,"Jena - Sömmerda - Weimarer Land I",16,203210,155210,153356,42092,19150,28312,9497,NA,13310,30426,42092,27.45,12.49,18.46,6.19,NA,8.68,19.84,27.45,"CDU",1
192,"Gotha - Ilm-Kreis",16,198341,148065,145878,40576,20391,22920,5411,NA,11218,35091,40576,27.82,13.98,15.71,3.71,NA,7.69,24.06,27.82,"CDU",1
193,"Erfurt - Weimar - Weimarer Land II",16,221922,168235,166158,42168,23535,32239,12666,NA,14260,30166,42168,25.38,14.16,19.4,7.62,NA,8.58,18.16,25.38,"CDU",1
194,"Gera - Greiz - Altenburger Land",16,240738,176933,174392,47690,19845,30402,4709,NA,14315,47275,47690,27.35,11.38,17.43,2.7,NA,8.21,27.11,27.35,"CDU",1
195,"Saalfeld-Rudolstadt - Saale-Holzland-Kreis - Saale-Orla-Kreis",16,229126,171879,169751,47769,20427,28088,5124,NA,13209,43740,47769,28.14,12.03,16.55,3.02,NA,7.78,25.77,28.14,"CDU",1
196,"Suhl - Schmalkalden-Meiningen - Hildburghausen - Sonneberg",16,234446,170237,168098,50956,22826,28467,5559,NA,11298,38693,50956,30.31,13.58,16.93,3.31,NA,6.72,23.02,30.31,"CDU",1
