"Land","Wahlkreisnummer","Wahlkreisname","Bevölkerung_Insgesamt_in1000","Bevölkerung_Deutsche_in1000","Bevölkerung_Ausländer_Prozent","Alter_unter18","Alter_18bis24","Alter_25bis34","Alter_35bis59","Alter_60bis74","Alter_75undÄlter","Bevölkerung_mitMigrationshintergrund","Bevölkerung_Religionszugehörigkeit_Römisch_katholisch","Bevölkerung_Religionszugehörigkeit_EvangelischeKirche","Bevölkerung_Religionszugehörigkeit_keine_OhneAngabe","Verfügbares_Einkommen_jeEinwohner","Bruttoinlandsprodukt_jeEinwohner","Absolventen_allgemeiner_Fachhochschulreife","Arbeitslosenquote_insgesamt_2017","EmpfängerInnen_SGBII_Leistungen_je1000","Dummy_West_Ost"
"Berlin",77,"Berlin-Reinickendorf",252.1,216.7,14.1,15.8,7.1,17.1,35.1,15.4,9.4,24.1,10.9,28.8,60.3,18594,34171,42.2,9.4,159.3,1
"Berlin",78,"Berlin-Spandau – Charlottenburg Nord",262.4,222.2,15.3,15.8,7.1,17.1,35.1,15.4,9.4,24.1,10.3,27.6,62.1,18594,34171,42.2,9.4,159.3,1
"Berlin",79,"Berlin-Steglitz-Zehlendorf",286.5,258.7,9.7,15.8,7.1,17.1,35.1,15.4,9.4,24.1,12.2,31.4,56.5,18594,34171,42.2,9.4,159.3,1
"Berlin",80,"Berlin-Charlottenburg-Wilmersdorf",277.7,227.2,18.2,15.8,7.1,17.1,35.1,15.4,9.4,24.1,12.6,24.5,62.9,18594,34171,42.2,9.4,159.3,1
"Berlin",81,"Berlin-Tempelhof-Schöneberg",333.7,279.2,16.3,15.8,7.1,17.1,35.1,15.4,9.4,24.1,12.1,25.1,62.8,18594,34171,42.2,9.4,159.3,1
"Berlin",82,"Berlin-Neukölln",318.7,246.2,22.7,15.8,7.1,17.1,35.1,15.4,9.4,24.1,10.6,21.4,68,18594,34171,42.2,9.4,159.3,1
"Berlin",83,"Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost",339.8,273.3,19.6,15.8,7.1,17.1,35.1,15.4,9.4,24.1,8.7,14.6,76.7,18594,34171,42.2,9.4,159.3,1
"Berlin",84,"Berlin-Treptow-Köpenick",251.2,237.1,5.6,15.8,7.1,17.1,35.1,15.4,9.4,24.1,3.9,11.1,85,18594,34171,42.2,9.4,159.3,1
"Berlin",85,"Berlin-Marzahn-Hellersdorf",256.3,239.4,6.6,15.8,7.1,17.1,35.1,15.4,9.4,24.1,3.2,8.3,88.5,18594,34171,42.2,9.4,159.3,1
"Berlin",86,"Berlin-Lichtenberg",273.3,241.4,11.7,15.8,7.1,17.1,35.1,15.4,9.4,24.1,3.8,8,88.2,18594,34171,42.2,9.4,159.3,1
