"Nr","Gebiet","Kennzeichnung","Wahlberechtigte","Wähler","Gültige_Zweitstimmen","CDU_Zweitstimmen","SPD_Zweitstimmen","LINKE_Zweitstimmen","GRÜNEN_Zweitstimmen","CSU_Zweitstimmen","FDP_Zweitstimmen","AFD_Zweitstimmen","CDU_und_CSU_Zweitstimmen","CDU_Prozent","SPD_Prozent","LINKE_Prozent","GRÜNEN_Prozent","CSU_Prozent","FDP_Prozent","AFD_Prozent","CDU_und_CSU_Prozent","Wahlsieger_Zweitstimme","Dummy_West_Ost"
"46","Hameln-Pyrmont - Holzminden","3","187377","139780","138673","44424","44190","9130","9995",NA,"12531","14054","44424","32.04","31.87","6.58","7.21",NA,"9.04","10.13","32.04","CDU",0
"47","Hannover-Land II","3","239923","188495","187016","58984","55161","12305","16290",NA,"17925","19392","58984","31.54","29.5","6.58","8.71",NA,"9.58","10.37","31.54","CDU",0
"48","Hildesheim","3","218349","169613","168297","54871","52077","10932","14806",NA,"13876","15695","54871","32.6","30.94","6.5","8.8",NA,"8.24","9.33","32.6","CDU",0
"49","Salzgitter - Wolfenbüttel","3","206133","157046","155719","45985","50482","11266","10213",NA,"12450","19115","45985","29.53","32.42","7.23","6.56",NA,"8","12.28","29.53","SPD",0
"50","Braunschweig","3","192041","147712","146657","42534","38695","13673","17295",NA,"14684","12268","42534","29","26.38","9.32","11.79",NA,"10.01","8.37","29","CDU",0
"51","Helmstedt - Wolfsburg","3","183961","137303","136012","47037","40740","9050","8064",NA,"10988","14862","47037","34.58","29.95","6.65","5.93",NA,"8.08","10.93","34.58","CDU",0
"52","Goslar - Northeim - Osterode","3","202963","150977","149790","48131","48016","9521","9929",NA,"13734","15132","48131","32.13","32.06","6.36","6.63",NA,"9.17","10.1","32.13","CDU",0
"53","Göttingen","3","220420","170547","169324","51177","47871","14748","19676",NA,"15421","13446","51177","30.22","28.27","8.71","11.62",NA,"9.11","7.94","30.22","CDU",0
"54","Bremen I","4","252496","188064","186376","48458","45729","26425","23568",NA,"19138","15539","48458","26","24.54","14.18","12.65",NA,"10.27","8.34","26","CDU",0
"55","Bremen II - Bremerhaven","4","221655","147855","145947","34951","43215","18204","13165",NA,"11918","17705","34951","23.95","29.61","12.47","9.02",NA,"8.17","12.13","23.95","SPD",0
"56","Prignitz - Ostprignitz-Ruppin - Havelland I","12","176002","120228","118408","35215","24884","19447","4231",NA,"6555","22183","35215","29.74","21.02","16.42","3.57",NA,"5.54","18.73","29.74","CDU",1
"57","Uckermark - Barnim I","12","184716","129870","128013","36160","21650","23870","5187",NA,"7021","26605","36160","28.25","16.91","18.65","4.05",NA,"5.48","20.78","28.25","CDU",1
