"Land","Wahlkreisnummer","Wahlkreisname","Bevölkerung_Insgesamt_in1000","Bevölkerung_Deutsche_in1000","Bevölkerung_Ausländer_Prozent","Alter_unter18","Alter_18bis24","Alter_25bis34","Alter_35bis59","Alter_60bis74","Alter_75undÄlter","Bevölkerung_mitMigrationshintergrund","Bevölkerung_Religionszugehörigkeit_Römisch_katholisch","Bevölkerung_Religionszugehörigkeit_EvangelischeKirche","Bevölkerung_Religionszugehörigkeit_keine_OhneAngabe","Verfügbares_Einkommen_jeEinwohner","Bruttoinlandsprodukt_jeEinwohner","Absolventen_allgemeiner_Fachhochschulreife","Arbeitslosenquote_insgesamt_2017","EmpfängerInnen_SGBII_Leistungen_je1000","Dummy_West_Ost"
"Niedersachsen",29,"Cuxhaven – Stade II",234.7,222.5,5.2,16.6,7.1,9.8,35.7,19,11.9,11,6.3,62,31.7,20649,21469,24,5.8,70.9,0
"Niedersachsen",30,"Stade I – Rotenburg II",252,234.4,7,17.5,8,11.4,36.5,16.4,10.2,13.1,5.6,57.5,36.9,21075,27727,27.8,5.3,65.4,0
"Niedersachsen",31,"Mittelems",308.2,278.9,9.5,18.4,8.3,11.8,35.9,15.7,9.9,18.8,49.2,31.8,18.9,18813,32445,26.1,3.6,51.4,0
"Niedersachsen",32,"Cloppenburg – Vechta",302.6,275.1,9.1,20.4,9.7,13,35.7,13,8.3,23.5,62.5,19.6,17.9,20024,36396,25.5,4.7,60.5,0
"Niedersachsen",33,"Diepholz – Nienburg I",244.7,229.3,6.3,16.7,7.5,10.3,37.3,16.8,11.4,13.4,9.8,58.4,31.8,21380,26806,28.3,4.5,61.6,0
"Niedersachsen",34,"Osterholz – Verden",248.2,233.7,5.9,17.2,7.3,10.1,36.8,17.7,10.7,14.3,6.6,55,38.4,22019,23523,34.9,4.4,53.9,0
"Niedersachsen",35,"Rotenburg I – Heidekreis",214.9,199.6,7.1,17.3,8.2,11.1,35.9,16.5,11.1,12.8,6.8,61.7,31.5,19984,28727,28.9,5.7,62.4,0
"Niedersachsen",36,"Harburg",248.1,232.3,6.4,17.2,7.1,10,37.8,17.1,10.8,11.7,6.4,44.8,48.8,24050,21188,35.3,4.2,48.9,0
"Niedersachsen",37,"Lüchow-Dannenberg – Lüneburg",230.8,216.5,6.2,17,8.2,11.5,36.3,16.5,10.5,12.1,6.8,52.6,40.6,19347,23548,36.6,6.3,74.3,0
"Niedersachsen",38,"Osnabrück-Land",265.6,241.8,9,18.7,8.5,11.3,36.3,15,10.2,19.4,37,40.7,22.3,21041,26395,23.1,3.6,44.6,0
