"Nr","Gebiet","Kennzeichnung","Wahlberechtigte","Wähler","Gültige_Zweitstimmen","CDU_Zweitstimmen","SPD_Zweitstimmen","LINKE_Zweitstimmen","GRÜNEN_Zweitstimmen","CSU_Zweitstimmen","FDP_Zweitstimmen","AFD_Zweitstimmen","CDU_und_CSU_Zweitstimmen","CDU_Prozent","SPD_Prozent","LINKE_Prozent","GRÜNEN_Prozent","CSU_Prozent","FDP_Prozent","AFD_Prozent","CDU_und_CSU_Prozent","Wahlsieger_Zweitstimme","Dummy_West_Ost"
28,"Delmenhorst - Wesermarsch - Oldenburg-Land",3,227696,170194,168819,56526,47622,11567,13525,NA,17076,16392,56526,33.48,28.21,6.85,8.01,NA,10.11,9.71,33.48,"CDU",0
29,"Cuxhaven - Stade II",3,187679,141726,140719,54163,38923,9121,9709,NA,11483,12650,54163,38.49,27.66,6.48,6.9,NA,8.16,8.99,38.49,"CDU",0
30,"Stade I - Rotenburg II",3,197297,153044,152195,59229,37361,9564,12511,NA,14538,13513,59229,38.92,24.55,6.28,8.22,NA,9.55,8.88,38.92,"CDU",0
31,"Mittelems",3,230151,179811,178852,88310,41983,8167,10803,NA,16181,9701,88310,49.38,23.47,4.57,6.04,NA,9.05,5.42,49.38,"CDU",0
32,"Cloppenburg - Vechta",3,220042,163669,162516,86301,28870,7145,8207,NA,15298,13145,86301,53.1,17.76,4.4,5.05,NA,9.41,8.09,53.1,"CDU",0
33,"Diepholz - Nienburg I",3,193934,148298,147278,55833,37505,8951,11992,NA,15515,12434,55833,37.91,25.47,6.08,8.14,NA,10.53,8.44,37.91,"CDU",0
34,"Osterholz - Verden",3,196136,153036,151798,53035,40047,11055,14052,NA,13464,14675,53035,34.94,26.38,7.28,9.26,NA,8.87,9.67,34.94,"CDU",0
35,"Rotenburg I - Heidekreis",3,168101,127071,126104,47558,34211,7422,10068,NA,10699,11671,47558,37.71,27.13,5.89,7.98,NA,8.48,9.26,37.71,"CDU",0
36,"Harburg",3,199081,161837,160855,57815,35377,10117,16410,NA,18839,16047,57815,35.94,21.99,6.29,10.2,NA,11.71,9.98,35.94,"CDU",0
37,"Lüchow-Dannenberg - Lüneburg",3,180865,141000,140139,43861,32865,12705,18906,NA,12959,12498,43861,31.3,23.45,9.07,13.49,NA,9.25,8.92,31.3,"CDU",0
38,"Osnabrück-Land",3,199131,151302,150195,60737,38529,9156,12346,NA,14603,10940,60737,40.44,25.65,6.1,8.22,NA,9.72,7.28,40.44,"CDU",0
39,"Stadt Osnabrück",3,196720,152107,151169,53977,37336,12759,18353,NA,14309,9499,53977,35.71,24.7,8.44,12.14,NA,9.47,6.28,35.71,"CDU",0
40,"Nienburg II - Schaumburg",3,194800,146673,145654,49896,43307,8289,11831,NA,12430,14945,49896,34.26,29.73,5.69,8.12,NA,8.53,10.26,34.26,"CDU",0
41,"Stadt Hannover I",3,179883,134805,133849,36401,36645,12470,16292,NA,13658,12226,36401,27.2,27.38,9.32,12.17,NA,10.2,9.13,27.2,"SPD",0
42,"Stadt Hannover II",3,193433,149031,148091,36203,37964,17823,22079,NA,14735,11241,36203,24.45,25.64,12.04,14.91,NA,9.95,7.59,24.45,"SPD",0
43,"Hannover-Land I",3,232926,181650,180376,62828,48783,10890,14335,NA,18869,18366,62828,34.83,27.05,6.04,7.95,NA,10.46,10.18,34.83,"CDU",0
44,"Celle - Uelzen",3,214612,162145,161006,58858,40899,9297,12478,NA,16334,17554,58858,36.56,25.4,5.77,7.75,NA,10.14,10.9,36.56,"CDU",0
